CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87381715;Mareil-sur-Mauldre;N;O;396000;1;042+382;MAREIL-SUR-MAULDRE;YVELINES;5359;e1b2762a-19bf-11e5-a6ff-01fc64e0362d;617263,3343;6866553,63;1,871552844;48,89367064;48.8936706359, 1.87155284373;48.8936706358, 1.87155284373;"{""type"": ""Point"", ""coordinates"": [1.871552843730545, 48.89367063584661]}"
87286062;Hellemmes;O;O;269000;1;004+096;LILLE;NORD;4429;d9b659f8-6667-11e3-89ff-01f464e0362d;708240,9878;7058436,268;3,116260108;50,62287384;50.6228738363, 3.11626010794;50.6228738363, 3.11626010794;"{""type"": ""Point"", ""coordinates"": [3.116260107935154, 50.62287383632865]}"
87214726;Rothau;N;O;110000;1;044+926;ROTHAU;BAS-RHIN;6309;d999b8dc-6667-11e3-89ff-01f464e0362d;1010921,903;6825947,023;7,207432344;48,45922303;48.4592230317, 7.20743234369;48.4592230317, 7.20743234369;"{""type"": ""Point"", ""coordinates"": [7.20743234369065, 48.459223031706124]}"
87615419;Marssac-sur-Tarn;N;O;741000;1;346+380;MARSSAC-SUR-TARN;TARN;5400;d9446fa8-6667-11e3-89ff-01f464e0362d;621836,5598;6313371,899;2,026894993;43,91501708;43.9150170804, 2.0268949929;43.9150170803, 2.0268949929;"{""type"": ""Point"", ""coordinates"": [2.026894992903472, 43.91501708033957]}"
87784512;Le Soler;N;O;679000;1;474+565;LE SOLER;PYRENEES-ORIENTALES;5007;29716a08-dfbc-11e3-a2ff-01a464e0362d;682569,1484;6175407,081;2,787602439;42,67807998;42.6780799754, 2.78760243869;42.6780799754, 2.78760243869;"{""type"": ""Point"", ""coordinates"": [2.787602438694242, 42.67807997536396]}"
87684233;Dordives;N;O;750000;1;101+349;DORDIVES;LOIRET;3990;d976c850-6667-11e3-89ff-01f464e0362d;682339,2856;6783021,141;2,762535923;48,14731643;48.1473164314, 2.76253592269;48.1473164314, 2.76253592269;"{""type"": ""Point"", ""coordinates"": [2.762535922688356, 48.14731643135682]}"
87611061;Carbonne;O;O;650000;1;041+439;CARBONNE;HAUTE-GARONNE;3482;c0fc7788-f312-11e3-90ff-015864e0362d;554802,7806;6245921,909;1,211587463;43,29766496;43.2976649555, 1.21158746253;43.2976649555, 1.21158746253;"{""type"": ""Point"", ""coordinates"": [1.211587462527254, 43.29766495545815]}"
87345280;Bauvin-Provin;N;O;285000;1;233+090;BAUVIN;NORD;3109;d9db6e70-6667-11e3-89ff-01f464e0362d;693254,0031;7046044,392;2,905040756;50,51167306;50.511673057, 2.90504075605;50.511673057, 2.90504075605;"{""type"": ""Point"", ""coordinates"": [2.905040756046009, 50.51167305703105]}"
87595298;Mussidan;O;O;621000;1;039+719;MUSSIDAN;DORDOGNE;5725;d992ef10-6667-11e3-89ff-01f464e0362d;491657,1654;6440746,873;0,353907886;45,03454482;45.03454482, 0.353907886034;45.03454482, 0.353907886034;"{""type"": ""Point"", ""coordinates"": [0.35390788603393, 45.03454481997635]}"
87481598;Nort-sur-Erdre;N;O;519000;1;456+500;NORT-SUR-ERDRE;LOIRE-ATLANTIQUE;8954;29550434-dfbc-11e3-a2ff-01a464e0362d;360782,5033;6714286,941;-1,503440199;47,4418526;47.4418526016, -1.50344019917;47.4418526015, -1.50344019917;"{""type"": ""Point"", ""coordinates"": [-1.503440199165117, 47.44185260153181]}"
